[0.000000] (-) TimerEvent: {}
[0.000502] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.000582] (-) JobUnselected: {'identifier': 'dynamixel_sdk_custom_interfaces'}
[0.000608] (-) JobUnselected: {'identifier': 'dynamixel_sdk_examples'}
[0.000746] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.000765] (-) JobUnselected: {'identifier': 'turtlebot3'}
[0.000832] (-) JobUnselected: {'identifier': 'turtlebot3_bringup'}
[0.000867] (-) JobUnselected: {'identifier': 'turtlebot3_cartographer'}
[0.000886] (-) JobUnselected: {'identifier': 'turtlebot3_description'}
[0.000963] (-) JobUnselected: {'identifier': 'turtlebot3_example'}
[0.000979] (-) JobUnselected: {'identifier': 'turtlebot3_fake_node'}
[0.001000] (-) JobUnselected: {'identifier': 'turtlebot3_manipulation_gazebo'}
[0.001021] (-) JobUnselected: {'identifier': 'turtlebot3_msgs'}
[0.001036] (-) JobUnselected: {'identifier': 'turtlebot3_navigation2'}
[0.001051] (-) JobUnselected: {'identifier': 'turtlebot3_node'}
[0.001067] (-) JobUnselected: {'identifier': 'turtlebot3_simulations'}
[0.001082] (-) JobUnselected: {'identifier': 'turtlebot3_teleop'}
[0.001096] (-) JobUnselected: {'identifier': 'turtlebot3_waypoint_nav'}
[0.001114] (turtlebot3_gazebo) JobQueued: {'identifier': 'turtlebot3_gazebo', 'dependencies': OrderedDict()}
[0.001133] (turtlebot3_gazebo) JobStarted: {'identifier': 'turtlebot3_gazebo'}
[0.005484] (turtlebot3_gazebo) JobProgress: {'identifier': 'turtlebot3_gazebo', 'progress': 'cmake'}
[0.005866] (turtlebot3_gazebo) JobProgress: {'identifier': 'turtlebot3_gazebo', 'progress': 'build'}
[0.006330] (turtlebot3_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo', '--', '-j16', '-l16'], 'cwd': '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '||/usr/bin/lesspipe.sh %s'), ('MAIL', '/var/spool/mail/shiv'), ('USER', 'shiv'), ('HOSTNAME', 'codr'), ('XDG_SESSION_TYPE', 'wayland'), ('PTYXIS_VERSION', '50.1'), ('XDG_CACHE_HOME', '/home/shiv/.cache'), ('SHLVL', '3'), ('LIBGL_ALWAYS_SOFTWARE', '1'), ('LD_LIBRARY_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3_msgs/lib:/home/shiv/turtlebot3_ws/install/slam_toolbox/lib:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/lib:/home/shiv/turtlebot3_ws/install/dynamixel_sdk/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/shiv'), ('OLDPWD', '/home/shiv'), ('DESKTOP_SESSION', 'gnome'), ('GIO_LAUNCHED_DESKTOP_FILE', '/home/shiv/.local/share/applications/ros-humble.desktop'), ('ROS_PYTHON_VERSION', '3'), ('PS1', '📦[\\u@ros-humble \\W]$'), ('MANAGERPID', '4993'), ('DISTROBOX_ENTER_PATH', '/usr/bin/distrobox-enter'), ('SYSTEMD_EXEC_PID', '5415'), ('XDG_STATE_HOME', '/home/shiv/.local/state'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('container', 'podman'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '1266671'), ('DEBUGINFOD_URLS', 'ima:enforcing https://debuginfod.fedoraproject.org/ ima:ignore'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'shiv'), ('MANAGERPIDFDID', '8564'), ('JOURNAL_STREAM', '10:33294'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('MEMORY_PRESSURE_WATCH', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@user.service/memory.pressure'), ('XDG_SESSION_CLASS', 'user'), ('TERMINFO_DIRS', '/usr/share/terminfo:/run/host/usr/share/terminfo'), ('USERNAME', 'shiv'), ('TERM', 'xterm-256color'), ('ROS_LOCALHOST_ONLY', '0'), ('HISTCONTROL', 'ignoredups'), ('FLATPAK_TTY_PROGRESS', '1'), ('PATH', '/opt/ros/humble/bin:/home/shiv/.local/bin:/home/shiv/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/usr/local/bin:/usr/bin:/sbin:/bin:/usr/local/sbin:/usr/sbin:/sbin:/bin'), ('GDM_LANG', 'en_US.UTF-8'), ('INVOCATION_ID', '974fc866684f49c49c6cca5cb8f0c8ae'), ('XDG_MENU_PREFIX', 'gnome-'), ('PTYXIS_PROFILE', '58030bb9b7d8377bff08527269f9ab55'), ('GNOME_SETUP_DISPLAY', 'unix:/tmp/.X11-unix/X1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('HISTSIZE', '1000'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'GNOME'), ('RMW_IMPLEMENTATION', 'rmw_cyclonedds_cpp'), ('XDG_DATA_HOME', '/home/shiv/.local/share'), ('XDG_CONFIG_HOME', '/home/shiv/.config'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'gnome'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.LFEMR3'), ('SSH_AUTH_SOCK', '/run/user/1000/gcr/ssh'), ('AMENT_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_simulations:/home/shiv/turtlebot3_ws/install/turtlebot3_bringup:/home/shiv/turtlebot3_ws/install/turtlebot3_node:/home/shiv/turtlebot3_ws/install/turtlebot3_navigation2:/home/shiv/turtlebot3_ws/install/turtlebot3_fake_node:/home/shiv/turtlebot3_ws/install/turtlebot3_example:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs:/home/shiv/turtlebot3_ws/install/turtlebot3_manipulation_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_description:/home/shiv/turtlebot3_ws/install/turtlebot3_cartographer:/home/shiv/turtlebot3_ws/install/slam_toolbox:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_examples:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/shiv/turtlebot3_ws/install/dynamixel_sdk:/opt/ros/humble'), ('SHELL', '/usr/bin/bash'), ('GDMSESSION', 'gnome'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('QT_IM_MODULE', 'ibus'), ('DEBUGINFOD_IMA_CERT_PATH', '/etc/keys/ima:'), ('PWD', '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo'), ('CONTAINER_ID', 'ros-humble'), ('TURTLEBOT3_MODEL', 'waffle'), ('XDG_CONFIG_DIRS', '/etc/xdg'), ('XDG_DATA_DIRS', '/home/shiv/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share/:/usr/share/:/usr/local/share:/usr/share'), ('XDG_SESSION_EXTRA_DEVICE_ACCESS', 'render:accel'), ('PYTHONPATH', '/home/shiv/turtlebot3_ws/build/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/build/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/build/turtlebot3_example:/home/shiv/turtlebot3_ws/install/turtlebot3_example/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/slam_toolbox/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/dynamixel_sdk/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('QT_IM_MODULES', 'wayland;ibus'), ('MEMORY_PRESSURE_WRITE', 'c29tZSAyMDAwMDAgMjAwMDAwMAA='), ('VTE_VERSION', '8400'), ('EDITOR', '/usr/bin/nano'), ('CMAKE_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3:/home/shiv/turtlebot3_ws/install/turtlebot3_simulations:/home/shiv/turtlebot3_ws/install/turtlebot3_bringup:/home/shiv/turtlebot3_ws/install/turtlebot3_node:/home/shiv/turtlebot3_ws/install/turtlebot3_navigation2:/home/shiv/turtlebot3_ws/install/turtlebot3_fake_node:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs:/home/shiv/turtlebot3_ws/install/turtlebot3_manipulation_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_description:/home/shiv/turtlebot3_ws/install/turtlebot3_cartographer:/home/shiv/turtlebot3_ws/install/slam_toolbox:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_examples:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/shiv/turtlebot3_ws/install/dynamixel_sdk:/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble')]), 'shell': False}
[0.046956] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 16%] Built target turtlebot3_drive\n'}
[0.053874] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target obstacle1\n'}
[0.054093] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target obstacle2\n'}
[0.054154] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target obstacles\n'}
[0.054198] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target traffic_bar_plugin\n'}
[0.054240] (turtlebot3_gazebo) StdoutLine: {'line': b'[100%] Built target traffic_light_plugin\n'}
[0.072924] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage2.launch.py\n'}
[0.072975] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage3.launch.py\n'}
[0.073031] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage4.launch.py\n'}
[0.073121] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_house.launch.py\n'}
[0.073168] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_world.launch.py\n'}
[0.074053] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/checker.png\n'}
[0.074119] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/scripts/checker.material\n'}
[0.074183] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/textures/checker.png\n'}
[0.074251] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/model.config\n'}
[0.074307] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/model.sdf\n'}
[0.074373] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/materials/scripts/course.material\n'}
[0.074444] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/materials/textures/course.png\n'}
[0.074538] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/model.config\n'}
[0.074587] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/model.sdf\n'}
[0.074630] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/materials/scripts/traffic_bar.material\n'}
[0.074680] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/materials/textures/traffic_bar.png\n'}
[0.074726] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/model.config\n'}
[0.074768] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/model.sdf\n'}
[0.074809] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/materials/scripts/traffic_construction.material\n'}
[0.074855] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/materials/textures/traffic_construction.png\n'}
[0.074895] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/model.config\n'}
[0.074930] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/model.sdf\n'}
[0.074967] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/materials/scripts/traffic_intersection.material\n'}
[0.075022] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/materials/textures/traffic_intersection.png\n'}
[0.075080] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/model.config\n'}
[0.075120] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/model.sdf\n'}
[0.075173] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/materials/scripts/traffic_is_left.material\n'}
[0.075238] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/materials/textures/traffic_left.png\n'}
[0.075302] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/model.config\n'}
[0.075362] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/model.sdf\n'}
[0.075428] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/scripts/traffic_light.material\n'}
[0.075493] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light.png\n'}
[0.075557] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light_green.png\n'}
[0.075620] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light_red.png\n'}
[0.075686] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light_yellow.png\n'}
[0.075743] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/model.config\n'}
[0.075804] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/model.sdf\n'}
[0.075879] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_noentry/materials/scripts/traffic_noentry.material\n'}
[0.075944] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_noentry/materials/textures/traffic_noentry.png\n'}
[0.076002] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_noentry/model.config\n'}
[0.076061] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_noentry/model.sdf\n'}
[0.076129] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_parking/materials/scripts/traffic_parking.material\n'}
[0.076192] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_parking/materials/textures/traffic_parking.png\n'}
[0.076251] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_parking/model.config\n'}
[0.076311] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_parking/model.sdf\n'}
[0.076379] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_pl_left/materials/scripts/traffic_pl_left.material\n'}
[0.076445] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_pl_left/materials/textures/traffic_pl_left.png\n'}
[0.076503] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_pl_left/model.config\n'}
[0.076562] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_pl_left/model.sdf\n'}
[0.076634] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_right/materials/scripts/traffic_right.material\n'}
[0.076701] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_right/materials/textures/traffic_right.png\n'}
[0.076760] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_right/model.config\n'}
[0.076824] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_right/model.sdf\n'}
[0.076891] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_stop/materials/scripts/traffic_stop.material\n'}
[0.076956] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_stop/materials/textures/traffic_stop.png\n'}
[0.077021] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_stop/model.config\n'}
[0.077077] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_stop/model.sdf\n'}
[0.077146] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_tunnel/materials/scripts/tunnel.material\n'}
[0.077208] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_tunnel/materials/textures/tunnel.png\n'}
[0.077267] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_tunnel/model.config\n'}
[0.077326] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_tunnel/model.sdf\n'}
[0.077391] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_burger/model-1_4.sdf\n'}
[0.077446] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_burger/model.config\n'}
[0.077507] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_burger/model.sdf\n'}
[0.077562] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_burger_cam/model-1_4.sdf\n'}
[0.077624] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_burger_cam/model.config\n'}
[0.077675] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_burger_cam/model.sdf\n'}
[0.077740] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_common/meshes/bases/burger_base.stl\n'}
[0.077802] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_common/meshes/bases/waffle_base.stl\n'}
[0.077869] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_common/meshes/bases/waffle_pi_base.stl\n'}
